timestamp;value
2025-04-28 12:14:01;273.22
2025-04-28 12:15:02;273.66
2025-04-28 12:16:02;274.16
2025-04-28 12:17:01;274.00
2025-04-28 12:18:02;274.53
2025-04-28 12:19:01;274.32
2025-04-28 12:20:02;274.84
2025-04-28 12:21:01;274.77
2025-04-28 12:22:02;274.64
2025-04-28 12:23:01;274.48
2025-04-28 12:24:02;274.83
2025-04-28 12:25:02;274.94
2025-04-28 12:26:01;274.98
2025-04-28 12:27:02;274.86
2025-04-28 12:28:01;274.61
2025-04-28 12:29:02;274.63
2025-04-28 12:30:01;274.73
2025-04-28 12:31:02;275.04
2025-04-28 12:32:01;275.49
2025-04-28 12:33:02;275.55
2025-04-28 12:34:01;275.83
2025-04-28 12:35:02;275.56
2025-04-28 12:36:01;275.92
2025-04-28 12:37:02;276.07
2025-04-28 12:38:01;275.73
2025-04-28 12:39:02;275.96
2025-04-28 12:40:01;275.91
2025-04-28 12:41:02;275.81
2025-04-28 12:42:02;276.28
2025-04-28 12:43:02;276.25
2025-04-28 12:44:01;276.67
2025-04-28 12:45:02;276.95
2025-04-28 12:46:01;277.16
2025-04-28 12:47:02;277.87
2025-04-28 12:48:01;278.41
2025-04-28 12:49:02;277.83
2025-04-28 12:50:01;277.84
2025-04-28 12:51:02;277.50
2025-04-28 12:52:01;277.02
2025-04-28 12:53:02;276.47
2025-04-28 12:54:01;276.51
2025-04-28 12:55:02;276.69
2025-04-28 12:56:01;276.55
2025-04-28 12:57:02;276.97
2025-04-28 12:58:01;277.48
2025-04-28 12:59:02;277.66
2025-04-28 13:00:02;277.60
2025-04-28 13:01:01;277.23
2025-04-28 13:02:02;276.90
2025-04-28 13:03:01;276.53
2025-04-28 13:04:02;276.65
2025-04-28 13:05:01;277.00
2025-04-28 13:06:02;276.68
2025-04-28 13:07:01;277.28
2025-04-28 13:08:02;276.77
2025-04-28 13:09:02;276.78
2025-04-28 13:10:01;276.90
2025-04-28 13:11:02;276.58
2025-04-28 13:12:02;276.62
2025-04-28 13:13:01;276.82
2025-04-28 13:14:02;276.71
2025-04-28 13:15:01;276.56
2025-04-28 13:16:02;276.98
2025-04-28 13:17:01;277.33
2025-04-28 13:18:02;277.64
2025-04-28 13:19:02;278.12
2025-04-28 13:20:01;277.69
2025-04-28 13:21:02;277.24
2025-04-28 13:22:01;277.20
2025-04-28 13:23:02;277.37
2025-04-28 13:24:01;277.21
2025-04-28 13:25:02;277.40
2025-04-28 13:26:02;277.33
